"bar_index","sequence_index","chant","piano_right_hand","piano_left_hand"
"82","1","g'4. a'8 b'8[ c''8] d''8[ e''8]","{<<{\voiceOne <b g'>4. <d' a'>8 b'8 c''8 d''8 e''8} \new Voice {\voiceTwo r4 r4 g'2}>>}","<g, g>4. fis8 g8[ a8 b8 c'8]"
"83","0","dis''16 e''16 fis''16 e''16 d''16 c''16 b'16 a'16 g'4 fis'4","r4 <a' c''>4 r8 <g' b'>8 r8 <fis' a'>8","<c c'>2 d'8 r8 d8 r8"
"84","0","d''8 g''8 \times 2/3 {g''8 e''8 c''8} b'4 a'4","{<<{\voiceOne d''4 e''8.[ c''16] b'8[ g''8] a'8[ fis''8]} \new Voice {\voiceTwo g'4 g'8. a'16 g'4 fis'4}>>}","<b, b>4 <c c'>4 d'4 d4"
"85","0","a'4 c''8. [ b'16 ] a'4 d'8.\noBeam d''16","<fis' a'>2.\fermata r4","<d, d>2.\fermata r4"
"86","0","a'8.( fis'16 d'4) d'8[ fis'8] a'8[ d''8 ]","r8 <d' fis' a'>8 r8 <d' fis' a'>8 r8 <d' a'>8 r8 <d' a'>8","<d, d>8 r8 <d, d>8 r8 fis8 r8 fis8 r8"
"87","0","e''4. a'8 b'8[ c''16( b'16) a'8] g'8","{<<{\voiceOne r8 e''16[ c''16 a'8 a'8] b'4. b'8} \new Voice {\voiceTwo r8 e'4 fis'8 g'4. g'8}>>}","<c c'>4. d8 g4. g,8"
"88","0","b'8.( g'16) c''8.( a'16) d''8[ e''16( d''16) c''8] b'8","<b' d''>8 r8 <a' c''>8 r8 <a' d''>4 <a' c''>8 <g' b'>8","<g, g>8 r8 r4 r8 g8( fis8 g8)"
"89","0","d''4. c''8 b'4 g'8.\noBeam g'16","\times 2/3  { fis'8 a'8 d''8 } \times 2/3  { d'8 a'8 c''8 } \times 2/3  { d'8 [ g'8 b'8 ] } \times 2/3  { b8 [ d'8 g'8 ] }","<fis, fis>2 g4 g,4"
"90","0","\partial 2. <d' d''>4 r4 r4","\partial 2. d'8 fis'16 a'16 d''16 fis''16 a''16 fis''16 d''4","\partial 2. <d fis>2."
"91","0","b'8[ d''8] c''8[ b'8] \grace{a'8} g'4 fis'8 g'8","<d' g' b' d''>4 r4 <d' g' b' d''>4 r4","<b, b>4 r4 <b, b>4 r4"
"92","0","\partial 2. {<<{\voiceOne \grace{e''4} d''2 r4} \new Voice {\voiceTwo d'4 r4 r4}>>}","\partial 2. r4 <d' fis' a' d''>8. <d' fis' a' d''>16 <d' fis' a' d''>4","\partial 2. r4 <d, d>8. <d, d>16 <d, d>4"
"93","0","e''8([ d''8]) d''8([ c''8]) c''8([ b'8]) b'8[( a'8)]","<c'' e''>8([ <b' d''>8]) <b' d''>8([ <a' c''>]) <a' c''>[( <g' b'>)] <g' b'>[( <fis' a'>)]","<c, c>2 <d, d>2"
"94","0","\partial 2. {<<{\voiceOne \grace{e''4} d''2 r4} \new Voice {\voiceTwo d'4 r4 r4}>>}","\partial 2. r4 d''16 [ fis''16 a''16 fis''16 ] d''4","\partial 2. <d, d>2."
"95","0","\grace{c''8} b'4 a'8 g'8 \grace{c''8} b'4 a'8 g'8","<d' b'>4 r4 <d' b'>4 r4","<g, g>4 r4 <g, g>4 r4"
"96","0","e''8[ c''8] b'8[ a'8 ] d''8 [ b'8] a'8[ g'8 ]","<g' e''>4 r4 <g' d''>4 r4","<c c'>4 r4 <b, b>4 r4"
"97","0","d''4\fermata d'4 d''8.( e''16) c''8.( a'16)","<d' fis' a' d''>4\fermata r4 <b' d''>4 <a' c''>4","<d, d>4\fermata r4 r4 <d, d>4"
"98","0","a'8 d''8 d'4 r4 d''8.\noBeam d''16","r4 d''16 [ fis''16 a''16 fis''16 ] d''4 r4","<d fis a>2. r4"
"99","0","b'4. gis'8 a'4 a'8.\noBeam d''16","<b e' gis' b'>2 <c' a'>4 <d' a' d''>4","<e, e>2 <a, a>4 <fis, fis>4"
"100","0","c'4 e''8 r16\fermata e''16 d''8.[ c''16] b'8.[ a'16]","r4 <e' a' c'' e''>8 r8\fermata <g' b' d''>8 r8 <g' b' d'' fis''>8 r8","<c c'>4 r4\fermata d'8 r8 d8 r8"
"101","0","c''8[ b'8] e''8[ d''8] c''8[ b'8] a'8[ g'8]","r8 <g' b'>8 r8 <b' d''>8 r8 <g' b'>8 r8 <g' b'>8","<g, g>8 r8 <g, g>8 r8 <g, g>8 r8 <g, g>8 r8"
"102","0","a'4.\fermata c''16 [ b'16 ] a'4 d'8.\noBeam d''16","<d' fis' a'>2.\fermata r4","<d, d>2.\fermata r4"
"103","0","e''8.[ g''16] a'8.[ c''16] b'8.[ d''16] fis'8.[ a'16]","<g' e''>4 <a' c''>4 <g' b'>4 <fis' a'>4","<c c'>2 d'4 d4"
